FIELD_ID,MAIN_CROP,VEG_START,H_START,H_END,PRACTICE,P_TYPE,P_START,P_END
31.0000003558141.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003483300.001,3736,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004060852.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003525117.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003843449.001,1933,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003647129.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004023006.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004183370.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003835241.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003772407.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003446401.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004201360.001,383,2019-05-20,2019-07-01,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003880664.001,382,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003695251.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003910406.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003776926.001,236,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004161526.001,262,2019-05-20,2019-08-01,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003801401.002,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004073838.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003871497.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004219766.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004077392.001,236,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003977038.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003685668.002,235,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003971560.001,236,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003972791.001,266,2019-05-20,2019-06-03,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003735293.001,383,2019-05-20,2019-07-01,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004018872.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_2,2019-10-15,NA
31.0000003570176.002,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003869569.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003497925.001,383,2019-05-20,2019-07-01,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003873564.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000004162925.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003508694.001,233,2019-05-20,2019-07-15,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003843451.001,2014,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003515828.001,383,2019-05-20,2019-07-01,2019-10-15,CatchCrop,CatchCrop_1,2019-10-15,NA
31.0000003587143.001,236,2019-05-20,2019-06-10,2019-10-15,CatchCrop,CatchCrop_3,2019-10-15,NA
