MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
6.116       42.66       0.8622      0.1961      1.634       44.51       11.13       0.007113    0.6934      0.1524      0.4516      
1.871       34.31       0.9381      0.4794      1.603       50.54       12.63       0.007457    0.6426      0.1168      0.1901      
3.659       30.19       0.9074      0.3864      1.783       71.13       17.78       0.005489    0.7235      1           0.3449      
1.363       18.38       0.9445      0.1751      1.586       39.57       9.893       0.004127    0.7085      1.271       0.2747      
0.7612      46.02       0.9819      0.2342      1.238       39.04       9.76        0.009874    0.6223      1.338       0.3681      
0.3065      51.96       0.9773      0.1273      2.151       77.4        19.35       0.004126    0.8135      0.3442      0.8544      
1.416       48.41       0.9403      0.18        1.292       46.37       11.59       0.009875    0.7387      0.02816     0.8277      
6.733       46.48       0.8563      0.4829      1.6         52.29       13.07       0.005812    0.7667      0.1578      0.6347      
0.5033      50.71       0.9632      0.2943      1.609       39.64       9.911       0.006885    0.8167      1.853       0.3848      
3.358       42.17       0.9315      0.4448      1.67        32.58       8.144       0.008837    0.8148      0.7605      0.3603      
1.353       58.04       0.9682      0.4505      1.991       54.27       13.57       0.006531    0.8036      0.6777      0.7866      
3.625       34.59       0.8973      0.3847      1.743       66.92       16.73       0.004007    0.7455      0.3497      0.2268      
1.978       31.23       0.9394      0.2429      1.638       41.76       10.44       0.006384    0.6626      1.532       0.8017      
0.2821      69.85       0.9866      0.3091      1.501       43.15       10.79       0.007775    0.7564      0.9534      0.1723      
3.281       63.49       0.9059      0.1148      1.913       32.11       8.029       0.004906    0.7874      0.9194      0.4583      
0.07808     15.32       0.9525      0.4776      1.849       56.03       14.01       0.00654     0.6978      0.8769      0.9548      
0.7021      48.27       0.9804      0.43        1.613       41.25       10.31       0.005473    0.6356      0.3335      0.6204      
2.534       52.32       0.9477      0.4736      1.613       70.63       17.66       0.004146    0.7109      0.08585     0.643       
0.2934      35.04       0.9527      0.4421      1.789       52.36       13.09       0.008165    0.6391      1.304       0.07301     
2.71        31.56       0.9095      0.4517      1.755       52.53       13.13       0.005062    0.8177      0.5272      0.544       
0.8653      42.88       0.9759      0.1818      1.34        52.36       13.09       0.006099    0.7741      0.1704      0.5211      
0.3852      33.16       0.9839      0.2639      1.706       27.75       6.937       0.006453    0.7582      1.65        0.5335      
3.216       19.68       0.9115      0.1889      1.468       35.44       8.86        0.003911    0.7789      0.2275      0.5004      
2.267       19.75       0.9262      0.2692      1.969       64.37       16.09       0.007432    0.7454      0.4359      0.8173      
3.219       56.64       0.9334      0.4445      1.847       41.41       10.35       0.004356    0.7817      1.111       0.6687      
1.475       27.53       0.9389      0.2949      2.007       63.68       15.92       0.008763    0.7946      0.7826      0.6788      
4.331       38.66       0.8967      0.2901      1.343       37.04       9.26        0.005198    0.7154      0.9384      0.2604      
0.9647      21.19       0.9674      0.2894      1.408       40.38       10.09       0.005385    0.6705      1.133       0.3108      
2.314       48.24       0.916       0.3074      1.709       45.6        11.4        0.00495     0.775       0.5567      0.1603      
1.468       59.99       0.9532      0.1709      1.848       69.19       17.3        0.008018    0.7854      0.2532      0.5659      
1.46        11.67       0.9385      0.4266      1.978       72.99       18.25       0.004985    0.6525      1.376       0.7909      
3.129       32.84       0.9062      0.1246      1.577       42.8        10.7        0.005781    0.7321      0.04727     0.7752      
0.2687      34.29       0.987       0.4584      1.721       87.98       21.99       0.006377    0.6498      1.201       0.2199      
0.02319     45.56       0.9858      0.4241      1.871       21.94       5.484       0.007965    0.7113      0.5396      0.05531     
0.9668      41.94       0.945       0.4905      1.541       78.48       19.62       0.003548    0.7936      0.5682      0.7573      
1.377       36.72       0.9313      0.2658      1.895       63.63       15.91       0.004442    0.729       1.64        0.6853      
3.43        33.3        0.9118      0.3654      1.354       38.1        9.526       0.006459    0.7344      0.7134      0.2729      
2.525       28.87       0.9479      0.2998      1.539       31.03       7.758       0.005655    0.6956      0.6997      0.425       
4.831       22.6        0.8803      0.2768      1.501       46.94       11.73       0.005896    0.7028      0.7506      0.3547      
2.887       68.13       0.9264      0.3949      1.967       29.73       7.433       0.005944    0.755       0.8942      0.4712      
0.1529      18.44       0.951       0.1173      1.573       89.3        22.33       0.005525    0.6411      0.4917      0.5437      
3.104       63.99       0.9095      0.1537      1.425       43.04       10.76       0.008557    0.7677      1.216       0.7977      
1.769       66.02       0.938       0.187       2.043       72.6        18.15       0.006985    0.7514      0.9234      0.688       
0.9829      33.16       0.98        0.4331      1.553       53.62       13.4        0.01017     0.7925      1.053       0.912       
7.13        31.78       0.8562      0.455       1.673       57.1        14.27       0.006559    0.7249      0.4467      0.5059      
6.252       29.13       0.8566      0.4393      1.742       40.22       10.05       0.006961    0.7319      0.4263      0.333       
0.6489      44.54       0.971       0.3552      1.586       40.8        10.2        0.008315    0.67        0.8676      0.413       
1.821       25.08       0.9634      0.3097      1.938       46.08       11.52       0.004684    0.7485      1.563       0.3343      
2.913       25.53       0.9208      0.331       1.747       65.89       16.47       0.004338    0.6958      0.001261    0.2487      
3.708       49.01       0.9056      0.1611      1.483       59.1        14.77       0.007364    0.6582      0.7003      0.2204      
1.293       74.67       0.9604      0.3165      1.481       57.17       14.29       0.008151    0.6541      0.02287     0.9119      
4.707       57.02       0.8983      0.4542      1.733       47.16       11.79       0.006731    0.7592      0.6709      0.6366      
6.029       53.61       0.8776      0.3945      1.686       51.31       12.83       0.004765    0.7837      0.04457     0.597       
5.839       33.06       0.8694      0.4309      1.785       44.94       11.23       0.005895    0.7632      0.5184      0.3363      
6.363       34.74       0.8716      0.3666      1.635       45.35       11.34       0.007031    0.7598      0.07428     0.4822      
0.9379      23.15       0.9658      0.3906      1.53        78.35       19.59       0.009495    0.8281      1.015       0.6646      
7.616       48.02       0.8423      0.4929      1.459       51.44       12.86       0.005869    0.7723      0.4685      0.6122      
1.354       18.55       0.953       0.328       1.38        36.27       9.067       0.009089    0.6709      0.7219      0.2407      
0.03436     78.67       0.9985      0.4089      1.8         68.32       17.08       0.00761     0.6239      0.6363      0.391       
0.3559      68.67       0.9705      0.4695      1.52        68.52       17.13       0.008504    0.7411      0.7211      0.07185     
1.168       62.27       0.9698      0.1131      2.053       84.53       21.13       0.006725    0.8149      0.8383      0.7638      
1.926       55.11       0.9236      0.3224      1.632       31.23       7.807       0.005483    0.6375      0.04205     0.2654      
0.256       55.75       0.9774      0.3045      2.108       85.19       21.3        0.006677    0.704       1.728       0.6619      
1.601       30.17       0.9315      0.2064      1.253       49.63       12.41       0.00814     0.6735      0.7221      0.516       
0.7737      63.23       0.9404      0.3871      1.803       28.92       7.231       0.01026     0.7335      0.0493      0.845       
7.475       37.37       0.8412      0.4453      1.606       55.61       13.9        0.006015    0.7274      0.1655      0.5947      
6.152       38.99       0.8604      0.2031      1.689       44.54       11.14       0.005572    0.6963      0.49        0.5544      
0.7008      60.44       0.9786      0.1851      1.493       54.12       13.53       0.006851    0.6503      1.848       0.0803      
1.983       58.98       0.9572      0.2956      2.046       41.32       10.33       0.004163    0.7861      0.1777      0.1365      
3.137       28.77       0.9321      0.3363      1.295       71.78       17.94       0.006075    0.6649      0.4962      0.4654      
2.467       30.45       0.94        0.1277      1.835       63.11       15.78       0.004516    0.6776      0.2749      0.4611      
1.534       56.96       0.9342      0.1165      2.004       31.46       7.864       0.003796    0.7172      1.106       0.5957      
0.5745      17.68       0.948       0.132       1.539       22.11       5.526       0.004025    0.7667      0.3396      0.4114      
0.1543      75.75       0.9813      0.1077      1.407       63.7        15.93       0.009606    0.7172      1.391       0.2049      
1.644       45.55       0.9308      0.2046      1.331       71.17       17.79       0.005294    0.7164      0.9866      0.7047      
0.6356      67.89       0.9524      0.1768      1.639       26.17       6.544       0.003695    0.6671      0.7944      0.2008      
3.753       34.44       0.897       0.1351      1.687       55.66       13.92       0.008695    0.7823      1.162       0.4584      
3.987       51.71       0.8946      0.4683      1.893       49.83       12.46       0.004947    0.772       0.3877      0.7553      
0.542       77.25       0.9516      0.1802      1.619       84.44       21.11       0.004101    0.8131      1.286       0.4653      
1.092       64.93       0.9382      0.4104      1.887       45.84       11.46       0.007539    0.8285      0.8622      0.07453     
0.6735      27.31       0.9438      0.2556      2.026       45.74       11.44       0.007786    0.6275      0.02927     0.3009      
1.128       71.99       0.9493      0.3977      1.285       40.01       10          0.007147    0.6195      1.739       0.4291      
0.8845      36.43       0.9526      0.1666      1.749       69.27       17.32       0.003776    0.682       1.101       0.4081      
1.764       43.34       0.9422      0.1754      1.924       68.13       17.03       0.006472    0.7792      0.8708      0.8778      
4.29        35.81       0.9104      0.4291      1.35        54.52       13.63       0.00387     0.756       1.058       0.7172      
0.1483      56.59       0.9906      0.3286      1.758       80.71       20.18       0.005576    0.7449      0.6725      0.5313      
6.275       53.58       0.8582      0.3478      1.526       51.74       12.94       0.006346    0.7382      0.2879      0.4542      
0.1508      7.849       0.9808      0.4534      1.702       78.42       19.61       0.004616    0.8123      1.799       0.3585      
3.555       34.02       0.9102      0.2443      1.534       54.96       13.74       0.007159    0.7288      0.9875      0.5062      
5.326       55.98       0.8911      0.4944      1.626       45.91       11.48       0.004553    0.7686      0.7167      0.5119      
3.587       54.5        0.9169      0.4408      1.599       71.1        17.78       0.004699    0.679       1.113       0.7489      
5.257       45.79       0.8741      0.1008      1.818       46.53       11.63       0.005228    0.7582      0.05114     0.4506      
1.901       65.11       0.9412      0.2971      2.036       40.5        10.13       0.004513    0.7887      0.4288      0.3596      
5.861       51.73       0.8806      0.1903      1.686       56.82       14.21       0.006684    0.7116      0.1792      0.3134      
4.749       32.57       0.8991      0.2946      1.663       41.72       10.43       0.004119    0.6911      0.3972      0.3654      
0.6698      27.31       0.9401      0.3302      2.108       80.97       20.24       0.006438    0.7469      0.4232      0.04867     
0.8582      33.12       0.9377      0.1072      1.48        32.84       8.209       0.008861    0.6475      0.5146      0.8843      
3.184       64.72       0.9106      0.4578      1.535       35.23       8.808       0.003925    0.7496      0.5098      0.6014      
0.9002      76.31       0.9651      0.1386      1.93        75.53       18.88       0.005203    0.6759      1.303       0.8106      
5.141       27.99       0.8843      0.1986      1.52        54.83       13.71       0.005982    0.7161      0.5115      0.2821      
1.006       13.79       0.976       0.3918      1.233       51.52       12.88       0.008706    0.7759      1.087       0.5447      
1.223       65.57       0.9448      0.4432      1.923       63.34       15.84       0.009575    0.6541      1.012       0.3618      
0.9954      75.45       0.9501      0.2485      1.913       44.13       11.03       0.008097    0.7483      0.8271      0.2875      
1.441       48.16       0.9501      0.412       1.782       25.17       6.292       0.008212    0.6566      1.009       0.4771      
2.656       55.51       0.9169      0.2675      1.951       64.79       16.2        0.003705    0.7827      0.8542      0.7309      
1.658       35.95       0.9332      0.4029      1.963       33.55       8.388       0.004964    0.6945      0.3344      0.1275      
0.1557      54.87       0.9891      0.132       1.577       29.42       7.354       0.005386    0.8356      1.538       0.1059      
0.821       18.5        0.9417      0.3217      1.98        51.5        12.88       0.008215    0.7799      0.02272     0.3669      
1.942       24.88       0.9312      0.3497      1.702       67.04       16.76       0.009111    0.7912      0.4354      0.3713      
0.8136      16.36       0.9436      0.1574      1.793       29.75       7.439       0.009543    0.7989      0.4604      0.6867      
0.2774      13.44       0.9944      0.106       1.866       28.49       7.123       0.006774    0.7542      0.4763      0.3149      
4.323       55.87       0.9087      0.2053      1.361       60.86       15.22       0.006658    0.6716      0.2148      0.6488      
1.603       60.29       0.9266      0.4545      1.605       48.96       12.24       0.007137    0.8309      1.02        0.5118      
4.842       28.6        0.8968      0.111       1.781       61.88       15.47       0.004262    0.7341      0.422       0.55        
2.481       57.1        0.9277      0.2096      1.282       64.93       16.23       0.00528     0.7278      0.8942      0.7603      
1.381       33.61       0.9634      0.2731      1.528       48.37       12.09       0.009477    0.6469      0.5915      0.9151      
0.08225     49.87       0.9861      0.2591      1.314       87.3        21.82       0.004896    0.7573      1.171       0.8362      
0.02234     17.94       0.9719      0.2422      1.36        66.13       16.53       0.003132    0.6744      1.947       0.9683      
0.7611      13.73       0.955       0.4264      1.671       38.24       9.559       0.009505    0.7712      0.9542      0.8934      
2.105       46.98       0.9498      0.1489      1.273       31.14       7.786       0.007601    0.6332      0.392       0.6468      
1.227       9.887       0.957       0.2372      1.716       68.66       17.16       0.008695    0.6763      1.209       0.7166      
0.5049      47.97       0.989       0.3097      1.582       50.78       12.69       0.007664    0.8312      1.613       0.1497      
1.498       32.68       0.9415      0.1346      1.711       51.01       12.75       0.009015    0.7227      1.66        0.1415      
1.287       53.77       0.9713      0.2446      1.483       36.45       9.112       0.00393     0.7605      0.279       0.5924      
0.06617     48.61       0.9734      0.3226      1.248       36.53       9.134       0.009996    0.8482      0.5565      0.6893      
2.389       66.71       0.9321      0.4896      1.75        38          9.5         0.004136    0.7141      1.34        0.1536      
0.9088      21.12       0.9797      0.4618      1.235       58.77       14.69       0.007679    0.798       1.386       0.09781     
6.778       41.42       0.8544      0.4363      1.641       39.17       9.793       0.006818    0.7764      0.3747      0.6279      
5.257       29.12       0.8902      0.2932      1.428       61.62       15.41       0.007296    0.7808      0.3555      0.3824      
0.2731      53.19       0.9799      0.233       1.831       33.05       8.262       0.008344    0.7003      0.2514      0.473       
2.775       65.42       0.941       0.4857      1.443       67.99       17          0.006397    0.7341      0.7969      0.3562      
5.72        32.68       0.8761      0.1024      1.405       42.52       10.63       0.004738    0.6987      0.3943      0.574       
6.615       36.89       0.8542      0.4846      1.595       36.88       9.22        0.005056    0.744       0.1386      0.6148      
0.6696      75.27       0.9812      0.3617      1.471       75.33       18.83       0.006227    0.8097      0.4175      0.573       
0.8716      33.05       0.9511      0.4609      2.047       48.44       12.11       0.004031    0.6369      1.556       0.9064      
0.9932      74.14       0.9475      0.2614      1.656       76.14       19.03       0.0062      0.8165      1.269       0.3482      
3.948       36.68       0.9022      0.4195      1.46        58.4        14.6        0.006689    0.6816      0.7855      0.4901      
1.195       69.34       0.9672      0.2012      1.409       57          14.25       0.00411     0.8238      0.1997      0.2372      
3.128       17.77       0.9344      0.1563      1.55        42.9        10.72       0.004988    0.7656      0.3467      0.8368      
2.488       58.93       0.9212      0.3225      1.656       55.77       13.94       0.009283    0.6912      1.042       0.3631      
0.2136      36.27       0.9846      0.27        1.913       53.93       13.48       0.004896    0.7475      0.5187      0.4231      
2.043       42.21       0.9393      0.3528      1.712       63.97       15.99       0.003449    0.7316      0.9822      0.2859      
4.201       23.32       0.9076      0.2307      1.42        46.6        11.65       0.005186    0.7007      0.4733      0.7797      
0.3235      20.66       0.9809      0.1036      2.093       57.5        14.37       0.007112    0.7276      1.594       0.6074      
1.181       60.81       0.9418      0.1444      1.786       26.07       6.519       0.004723    0.7603      0.2397      0.3763      
6.549       53.55       0.8681      0.4359      1.73        46.88       11.72       0.006387    0.7284      0.5249      0.5913      
3.045       67.39       0.9196      0.4307      1.325       74.71       18.68       0.005641    0.7469      0.08455     0.4685      
0.3472      38.4        0.9649      0.1508      1.72        36.1        9.025       0.00826     0.6293      0.5855      0.2211      
1.738       27.69       0.9492      0.1639      1.311       78.82       19.7        0.007075    0.6595      1.51        0.414       
5.753       53.7        0.8641      0.2529      1.478       59.26       14.82       0.006671    0.7222      0.5267      0.3678      
1.517       45.57       0.9498      0.4575      1.59        55.68       13.92       0.006321    0.7357      1.073       0.5411      
4.202       50.12       0.8951      0.4924      1.883       65.71       16.43       0.008366    0.7528      0.5541      0.5254      
3.529       36.61       0.915       0.3371      1.454       38.73       9.682       0.006447    0.7022      0.4331      0.4009      
0.7367      28.48       0.9449      0.2846      1.222       39.83       9.957       0.007302    0.78        1.831       0.5932      
1.385       36.8        0.9629      0.342       1.634       43.89       10.97       0.005064    0.7502      0.03533     0.7992      
0.9133      72.64       0.9527      0.1735      2.094       27.02       6.756       0.007661    0.7351      0.4668      0.878       
4.442       23.04       0.8972      0.2883      1.769       47.54       11.88       0.005532    0.7104      0.06267     0.7701      
1.066       10.73       0.9436      0.2474      1.861       50.95       12.74       0.004565    0.8052      0.4649      0.8687      
7.612       40.28       0.8417      0.2731      1.596       46.88       11.72       0.006027    0.7394      0.179       0.4487      
6.009       45.65       0.8644      0.355       1.457       54.74       13.68       0.006284    0.7391      0.2412      0.4727      
3.158       18.97       0.913       0.4137      1.396       31.06       7.764       0.008153    0.7035      0.5119      0.8054      
6.667       46.09       0.8605      0.3903      1.595       37.91       9.478       0.00556     0.7647      0.1849      0.3747      
2.021       35.64       0.9336      0.2512      1.348       66.32       16.58       0.008223    0.788       0.9794      0.3895      
3.586       27.04       0.8981      0.3062      1.749       42.27       10.57       0.008406    0.6606      1.173       0.6122      
2.545       29.98       0.9295      0.1389      1.817       39.21       9.803       0.007989    0.7776      0.6059      0.1291      
5.189       55.59       0.8826      0.147       1.711       33.74       8.434       0.007661    0.7807      0.7604      0.3531      
1.332       51.94       0.9436      0.226       1.795       48.47       12.12       0.003498    0.6727      0.1621      0.6007      
3.704       53.19       0.9154      0.4679      1.454       68.99       17.25       0.005576    0.7427      0.9356      0.5143      
5.88        41.13       0.8811      0.3271      1.717       44.65       11.16       0.007233    0.7367      0.1529      0.626       
3.327       29.41       0.9169      0.2883      1.355       49.15       12.29       0.004777    0.729       0.6359      0.3986      
7.32        39.6        0.8473      0.1711      1.556       53.24       13.31       0.005266    0.7245      0.03839     0.4204      
7.265       34.68       0.8522      0.2601      1.451       52.03       13.01       0.004935    0.7635      0.4172      0.3742      
1.479       37.5        0.958       0.3971      1.855       67.57       16.89       0.009725    0.727       0.6068      0.5543      
7.81        39.94       0.8421      0.1768      1.56        49.14       12.28       0.00579     0.7439      0.1248      0.3931      
1.775       71.01       0.9285      0.2557      1.458       40.95       10.24       0.009251    0.6689      0.462       0.2874      
3.963       29.7        0.8909      0.4942      1.444       51.9        12.98       0.007393    0.7532      1.167       0.6432      
1.154       24.06       0.9523      0.2812      1.885       52.1        13.03       0.004928    0.817       1.489       0.8471      
0.4394      47.16       0.9803      0.2711      1.935       38.61       9.652       0.009071    0.6427      1.759       0.1696      
2.072       28.89       0.9513      0.1851      1.503       32.15       8.037       0.003645    0.764       0.087       0.6101      
4.655       31.07       0.8986      0.2515      1.527       65.07       16.27       0.007924    0.7247      0.8096      0.7579      
0.1504      19.83       0.9587      0.3201      1.297       46.78       11.69       0.005815    0.7745      0.5548      0.5183      
0.7751      20.53       0.9396      0.176       2.02        22.7        5.675       0.009012    0.7274      0.006239    0.552       
4.454       23.58       0.9066      0.341       1.45        33.1        8.276       0.005787    0.6959      1.043       0.4474      
4.04        40.48       0.9071      0.2937      1.729       39.96       9.991       0.004685    0.8068      0.1186      0.2215      
1.459       62.71       0.9567      0.4894      1.496       36.6        9.151       0.005206    0.7354      0.4703      0.8523      
0.3968      78.32       0.9771      0.1526      1.521       24.41       6.102       0.006092    0.8205      1.744       0.5144      
0.1267      77.68       0.997       0.1408      1.629       21.71       5.428       0.00727     0.8083      1.518       0.5295      
1.535       19.62       0.952       0.3455      1.935       78.82       19.7        0.008951    0.6859      0.8731      0.2915      
0.3049      18.31       0.9752      0.3048      1.991       87.8        21.95       0.006805    0.6585      1.741       0.2642      
2.473       14.14       0.9193      0.4483      1.317       56.85       14.21       0.00616     0.6794      0.3054      0.3616      
4.693       26.37       0.9003      0.4221      1.833       63.03       15.76       0.006269    0.7755      0.1345      0.3137      
0.336       36.05       0.9862      0.175       1.463       41.75       10.44       0.008996    0.6979      1.299       0.07212     
1.031       73.22       0.9633      0.1324      2.121       32.17       8.043       0.007117    0.7672      1.173       0.5565      
5.325       45.16       0.8884      0.4622      1.765       46.12       11.53       0.005032    0.6986      0.1842      0.6786      
0.1624      61.41       0.9946      0.409       1.809       27.79       6.948       0.009863    0.7795      1.222       0.7619      
5.681       55.65       0.8818      0.3693      1.384       39.06       9.766       0.005838    0.6885      0.8049      0.5872      
2.893       16.69       0.9347      0.3403      1.817       41.96       10.49       0.007086    0.7656      0.9705      0.7694      
0.5176      24.66       0.9634      0.1924      1.978       25.9        6.474       0.009258    0.7929      0.7988      0.5496      
0.2971      73.08       0.9561      0.3739      1.425       41.89       10.47       0.005337    0.8181      1.382       0.9129      
2.344       56.14       0.9208      0.2459      1.7         42.92       10.73       0.009339    0.783       0.6046      0.1207      
5.961       53.28       0.8726      0.4495      1.58        46.76       11.69       0.00656     0.7855      0.494       0.6323      
1.889       24.43       0.9278      0.1665      2.052       53.19       13.3        0.007002    0.6857      0.4984      0.5508      
0.8069      69.24       0.9718      0.1385      1.631       34.42       8.605       0.009936    0.8295      1.677       0.6134      
