MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
1.808       65.91       0.9382      0.2187      1.965       64.77       16.19       0.007701    0.6501      1.258       0.6309      
5.087       41.14       0.8769      0.403       1.716       43.39       10.85       0.00652     0.6798      0.8534      0.3434      
1.62        25.8        0.9644      0.1248      2.07        67.74       16.94       0.009929    0.6647      1.551       0.1156      
2.42        53.08       0.9411      0.4116      1.838       27.04       6.761       0.006082    0.697       0.8501      0.4018      
7.438       36.85       0.8505      0.3637      1.633       45.66       11.42       0.006137    0.7609      0.09511     0.4659      
2.016       39.65       0.9283      0.3791      1.54        70.11       17.53       0.006905    0.7237      0.9784      0.3267      
2.474       61.71       0.9147      0.4069      1.487       36.02       9.004       0.00366     0.7206      1.306       0.7422      
0.8315      55.99       0.976       0.1064      1.748       53.24       13.31       0.005234    0.618       1.819       0.9537      
6.653       52.82       0.8647      0.1223      1.624       50.32       12.58       0.004998    0.7431      0.1891      0.4884      
2.434       48.28       0.9439      0.1936      1.654       32.74       8.186       0.006028    0.686       0.4609      0.7388      
0.7523      29.15       0.984       0.2155      1.812       54.68       13.67       0.007059    0.6782      1.425       0.8625      
7.455       44.73       0.8403      0.188       1.578       52.65       13.16       0.005927    0.7147      0.03322     0.4223      
0.9772      41.34       0.9593      0.1075      2.129       28.97       7.243       0.004812    0.7758      0.8207      0.6765      
3.74        19.77       0.9098      0.3861      1.344       47.48       11.87       0.007986    0.6634      0.3133      0.6957      
0.5442      10.34       0.9731      0.4484      1.524       60.16       15.04       0.007206    0.7216      1.035       0.07077     
1.633       35.08       0.9496      0.4274      1.952       33.89       8.473       0.0067      0.6961      0.9672      0.6727      
1.346       58.08       0.9439      0.1271      1.372       51.87       12.97       0.007946    0.7831      0.1401      0.4832      
2.002       34.06       0.9349      0.3056      1.519       70.62       17.66       0.004999    0.6603      1.281       0.5861      
5.43        37.75       0.8771      0.4924      1.769       62.9        15.73       0.00452     0.6927      0.684       0.4253      
5.27        55.47       0.8816      0.2345      1.713       38.27       9.567       0.007226    0.777       0.7446      0.4606      
0.3901      73.12       0.972       0.2659      1.816       41.45       10.36       0.009926    0.8054      1.058       0.9659      
0.1967      28.75       0.9621      0.1399      1.459       60.8        15.2        0.0105      0.7611      0.6457      0.1027      
3.2         65.77       0.903       0.1091      1.789       50.56       12.64       0.006322    0.7586      1.021       0.261       
1.295       56.64       0.9595      0.3069      2.057       45.3        11.32       0.006936    0.7244      1.117       0.8045      
0.8862      68.41       0.9385      0.491       1.668       61.19       15.3        0.01033     0.6908      0.7143      0.3021      
3.438       26.57       0.923       0.1217      1.773       58.6        14.65       0.004985    0.6533      0.8734      0.6949      
5.43        27.73       0.8905      0.4853      1.641       48.2        12.05       0.005352    0.6822      0.8314      0.6816      
4.003       50.5        0.8934      0.3224      1.73        53.23       13.31       0.006418    0.7482      0.2629      0.338       
0.9534      59.95       0.9598      0.1897      1.954       33.69       8.424       0.004063    0.6653      1.452       0.1477      
5.678       50.43       0.8823      0.1678      1.471       39.21       9.803       0.00704     0.7761      0.1928      0.455       
0.8767      8.718       0.9636      0.2337      2.072       81.78       20.44       0.003417    0.7035      0.7854      0.5426      
0.2778      15.8        0.9706      0.469       2.033       28.61       7.153       0.007418    0.7201      1.523       0.09913     
4.077       30.56       0.9039      0.1444      1.543       69.63       17.41       0.004967    0.7025      0.8581      0.4876      
0.4613      33.29       0.9907      0.3645      1.332       61.31       15.33       0.006854    0.8216      0.734       0.6148      
0.2502      28.27       0.9601      0.3164      1.768       86.24       21.56       0.01041     0.8354      0.4606      0.5464      
5.819       32.32       0.879       0.3919      1.759       48.39       12.1        0.006272    0.7514      0.7621      0.5783      
4.751       39.59       0.8873      0.2737      1.724       59.61       14.9        0.00809     0.6911      0.9421      0.4891      
1.883       68.86       0.9473      0.1575      1.961       75.36       18.84       0.004839    0.787       0.6902      0.8684      
0.8455      70.47       0.942       0.2171      1.573       53.61       13.4        0.00365     0.8083      1.032       0.4552      
4.822       38.97       0.8995      0.4574      1.396       59.48       14.87       0.005469    0.7095      0.9083      0.3034      
1.134       45.42       0.9577      0.2005      2.072       77.97       19.49       0.004821    0.6716      1.723       0.7298      
0.4474      30.35       0.9593      0.1312      1.388       43.7        10.93       0.003905    0.8168      0.3411      0.2436      
2.282       32.31       0.9387      0.4402      1.61        48.09       12.02       0.005028    0.7501      0.9313      0.3449      
3.182       40.92       0.9193      0.3933      1.582       42.66       10.67       0.006365    0.7468      0.1077      0.4971      
0.9241      12.8        0.9458      0.3384      1.731       32.19       8.048       0.003367    0.7787      0.05254     0.1154      
7.254       38          0.8538      0.3193      1.6         49.7        12.43       0.004967    0.7384      0.0629      0.5887      
0.1248      67.87       0.9912      0.3617      1.736       32.03       8.007       0.005426    0.8057      0.2697      0.6817      
3.212       25.91       0.9269      0.4003      1.34        68.6        17.15       0.005509    0.7282      0.1937      0.2903      
1.601       14.48       0.9337      0.3485      1.261       54.14       13.53       0.003327    0.7749      0.01761     0.2271      
0.2977      66.85       0.9543      0.3755      1.52        39.75       9.938       0.01047     0.7332      1.2         0.7859      
0.2103      53.46       0.9886      0.3489      1.729       64.84       16.21       0.01071     0.8255      0.5662      0.03577     
0.05267     55.87       0.9893      0.2659      1.5         43.9        10.98       0.006077    0.7922      0.7201      0.5587      
3.784       48.73       0.8964      0.3406      1.642       71.9        17.97       0.006477    0.7642      0.4398      0.6567      
4.861       51.83       0.8773      0.1299      1.537       38.75       9.688       0.007669    0.6915      0.139       0.5362      
0.1347      14.92       0.9603      0.3665      1.605       20.58       5.146       0.009354    0.7641      1.101       0.4665      
2.041       42.64       0.9308      0.1373      1.875       45.51       11.38       0.008819    0.7401      1.482       0.608       
7.447       41.01       0.8414      0.2654      1.595       39.46       9.865       0.005736    0.7754      0.05534     0.5228      
0.1019      50.28       0.9485      0.2989      1.946       22.13       5.533       0.005806    0.6183      1.067       0.1314      
2.828       56.02       0.9425      0.2347      1.927       54.82       13.71       0.007832    0.6744      0.02081     0.2472      
0.4599      60.38       0.9706      0.3287      1.597       55.96       13.99       0.007213    0.6766      1.75        0.9769      
2.177       48.6        0.9246      0.2592      1.966       57.22       14.3        0.007659    0.6589      1.289       0.1422      
1.608       29.51       0.9351      0.1498      1.8         68.29       17.07       0.006056    0.6564      0.4863      0.5847      
4.283       25.73       0.9069      0.2822      1.841       58.27       14.57       0.008401    0.7462      0.1755      0.7         
1.302       67.29       0.9683      0.1376      1.988       80.44       20.11       0.01009     0.7779      0.4113      0.8703      
0.5453      23.83       0.9578      0.1229      1.976       29.83       7.457       0.009115    0.672       1.794       0.1281      
1.877       41.18       0.9316      0.2469      1.471       29.46       7.366       0.008965    0.6675      0.3428      0.5288      
3.706       55.86       0.9109      0.1507      1.375       40.1        10.03       0.004815    0.672       0.6479      0.3909      
4.926       32.76       0.881       0.4508      1.807       39.05       9.762       0.006306    0.78        0.1024      0.6119      
0.6751      13.16       0.9576      0.2211      1.867       79.88       19.97       0.009425    0.6927      0.9256      0.5129      
0.1787      43.54       0.9493      0.1313      1.425       56.52       14.13       0.007135    0.6493      0.5452      0.2593      
4.25        36.77       0.9047      0.4946      1.808       40.9        10.22       0.008115    0.6954      0.8173      0.259       
5.568       33.02       0.8696      0.2226      1.804       62.85       15.71       0.005715    0.7305      0.09391     0.6798      
1.156       58.63       0.9443      0.1841      1.541       79.15       19.79       0.003376    0.7913      1.34        0.4251      
1.1         71.89       0.9399      0.4371      1.377       60.41       15.1        0.008602    0.7163      1.409       0.4967      
0.7635      11.21       0.9726      0.487       2.066       67.89       16.97       0.01047     0.6271      1.789       0.2537      
0.9003      34.57       0.9771      0.2673      1.659       57.73       14.43       0.008204    0.8004      0.5523      0.8595      
0.4397      70.79       0.967       0.4072      1.697       71.83       17.96       0.005003    0.8415      0.5933      0.4864      
3.463       42.29       0.926       0.1446      1.365       29.93       7.482       0.005598    0.6859      0.2807      0.2867      
4.354       25.03       0.8937      0.2302      1.332       45.73       11.43       0.005707    0.7315      0.106       0.613       
1.195       17.11       0.9718      0.4683      1.314       75.85       18.96       0.003986    0.7169      0.5234      0.6172      
7.697       37.4        0.8417      0.1462      1.525       46.92       11.73       0.005493    0.7368      0.1805      0.4242      
0.2219      69.45       0.9616      0.3361      2.065       22.08       5.52        0.009998    0.7564      0.1669      0.4054      
1.543       59.36       0.9358      0.4717      2.053       54.54       13.64       0.005645    0.6467      1.565       0.7693      
4.578       47.63       0.8944      0.1825      1.494       64.22       16.06       0.007185    0.7979      0.2199      0.5023      
0.9616      14.36       0.975       0.1823      1.795       45.74       11.44       0.006038    0.6918      0.3661      0.5892      
5.563       46.07       0.8793      0.3227      1.415       34.65       8.662       0.004474    0.742       0.207       0.2794      
5.435       57.21       0.8734      0.2483      1.785       44.38       11.09       0.007521    0.7577      0.4074      0.3553      
1.709       43.86       0.9562      0.2318      1.35        43.37       10.84       0.006953    0.8131      1.493       0.7012      
0.2692      47.35       0.9851      0.4896      1.717       57.51       14.38       0.005643    0.7851      0.7252      0.9572      
5.974       52.68       0.8786      0.1724      1.384       60.74       15.18       0.005532    0.7683      0.5524      0.3546      
3.127       43.47       0.9365      0.4104      1.52        69.81       17.45       0.004714    0.7834      0.931       0.2239      
3.039       48.85       0.9128      0.4989      1.617       73.44       18.36       0.007372    0.6882      0.9607      0.7454      
0.3188      20.89       0.96        0.221       1.884       65.57       16.39       0.004836    0.6173      1.163       0.5619      
1.1         22.72       0.9382      0.1661      1.309       29.21       7.302       0.003729    0.7712      1.031       0.6773      
6.73        31.4        0.8511      0.2705      1.636       46.1        11.52       0.004852    0.7708      0.1794      0.4973      
2.839       34.54       0.9178      0.275       1.686       38.74       9.685       0.007635    0.6712      0.4639      0.1603      
3.661       43.91       0.9202      0.4061      1.749       34.03       8.508       0.008692    0.6947      0.7367      0.5685      
3.35        57          0.9062      0.1489      1.584       29.57       7.391       0.008098    0.6855      0.8748      0.7409      
0.806       48.19       0.9653      0.4583      1.252       28.73       7.183       0.008719    0.6156      1.775       0.4413      
7.12        45.27       0.8561      0.3408      1.661       40.38       10.09       0.00532     0.7469      0.3444      0.5521      
0.0463      44.88       0.9637      0.2694      1.878       64.51       16.13       0.004591    0.8292      0.542       0.1577      
2.335       58.95       0.9172      0.4886      1.457       66.05       16.51       0.00809     0.7204      0.01487     0.4567      
3.977       19.77       0.8999      0.4009      1.451       40.11       10.03       0.007168    0.6915      0.626       0.5666      
0.01958     20.3        0.9553      0.4195      1.968       25.87       6.467       0.00682     0.8333      1.375       0.1399      
0.9657      26.32       0.9431      0.3529      1.713       75.04       18.76       0.005431    0.7597      0.8788      0.6768      
0.5027      16.53       0.9845      0.2632      1.63        68.45       17.11       0.00602     0.6076      1.244       0.2989      
0.3963      10.7        0.9629      0.4065      1.772       26.81       6.703       0.007851    0.7004      0.4164      0.5635      
1.987       32.19       0.9592      0.3641      1.602       28.72       7.179       0.009363    0.688       0.7987      0.3295      
0.0981      36.93       0.9652      0.1339      1.923       50.27       12.57       0.01015     0.7329      0.7263      0.07346     
2.138       37.73       0.9437      0.3686      1.598       64.96       16.24       0.003899    0.8003      1.4         0.3127      
4.873       33.56       0.8793      0.1869      1.586       55.08       13.77       0.006594    0.7139      0.9727      0.7177      
1.41        26.14       0.9542      0.245       1.936       50.37       12.59       0.009316    0.6974      0.633       0.2682      
7.319       45.92       0.8417      0.4242      1.559       51.24       12.81       0.005426    0.7681      0.2218      0.5182      
0.1906      18.9        0.9764      0.4794      1.664       34.65       8.663       0.003902    0.7319      0.0345      0.8511      
7.713       39.48       0.8419      0.3232      1.543       44.08       11.02       0.00563     0.7571      0.0905      0.5456      
0.4141      54.32       0.9576      0.3747      1.844       40.59       10.15       0.006201    0.7706      0.2293      0.5915      
6.856       42.73       0.8593      0.3594      1.476       55.93       13.98       0.004517    0.7667      0.02826     0.4526      
0.2846      7.065       0.9635      0.2978      1.722       78.2        19.55       0.003964    0.7052      1.359       0.2466      
